dataset,feature_id,description
HighwaySection,EA02_004011,"東北道の [ 140.489097, 37.832305 ], [ 140.490105, 37.833463 ] の間に 桑折JCT [ 140.489760408892153, 37.833067130453479 ] を追加"
HighwaySection,EA02_024026,"北陸道の [ 136.092641, 35.634821 ], [ 136.092705, 35.634264 ] の間に 敦賀JCT [ 136.09264395, 35.63479392 ] を追加"
Joint,EA03_520030,三ケ日 を 三ヶ日 に修正
Joint,EA03_522015,三ケ日JCT を 三ヶ日JCT に修正
HighwaySection,EA02_013015,"常磐道の [ 140.920476, 37.714294 ], [ 140.919384, 37.716321 ] の間に 南相馬鹿島SIC [ 140.919916484751809, 37.715332587370007 ] を追加"
Joint,EA03_516022,茨城JCT を 茨城町JCT に修正
Joint,EA03_505007,"八戸JCT [ 141.458046, 40.4599 ] を追加"
HighwaySection,EA02_024017,"北陸道の [ 137.001706, 36.655778 ], [ 137.000374, 36.655375 ] の間に 高岡砺波SIC [ 137.000707620931735, 36.655475937864487 ] を追加"
Joint,EA03_521017,飛騨清見 を 飛驒清見 に修正
Joint,EA03_526020,清洲東\/清洲JCT を 清洲JCT に変更
Joint,EA03_710007,東大阪荒本\/東大阪JCT を 東大阪JCT に変更
Joint,EA03_672013,新板橋\/滝野川 を 新板橋 に変更
Joint,EA03_690001,大黒ふ頭\/大黒JCT を 大黒JCT に変更
Joint,EA03_691001,浮島\/川崎浮島JCT を 川崎浮島JCT に変更
Joint,EA03_727017,石丸\/福重 を 石丸 に変更
Joint,EA03_562002,新庄市十日町 を 新庄北 に修正
Joint,EA03_563001,金山町飛ノ森 を 金山北 に修正
Joint,EA03_563003,金山町中田 を 中田 に修正
Joint,EA03_563004,真室川町及位 を 及位 に修正
Joint,EA03_841001,湯沢市上院内 を 上院内 に修正
Joint,EA03_841002,湯沢市下院内 を 下院内 に修正
Joint,EA03_517008,相模湖東出口 を 相模湖東 に変更
Joint,EA03_716011,西宮IC\JCT を 西宮インター に変更
HighwaySection,EA02_018020,"名神高速の [ 135.692032, 34.904503 ], [ 135.694696, 34.905159 ] の間に 大山崎JCT [ 135.692687, 34.904669 ] を追加"
HighwaySection,EA02_026019,"近畿道の [ 135.575764, 34.754662 ], [ 135.575327, 34.75545 ] の間に 守口JCT [ 135.57565724, 34.75485441 ] を追加"
HighwaySection,EA02_030007,"中国道の [ 134.692637140684383, 34.963224347745381 ], [ 134.691724000000136, 34.963386 ] の間に 夢前SIC [ 134.692637140684269, 34.963224347745445 ] を追加"
HighwaySection,EA02_030013,"中国道の [ 132.911102, 34.802952 ], [ 132.910054, 34.802848 ] の間に 三次東JCT [ 132.91054201, 34.80289643 ] を追加"
HighwaySection,EA02_043023,"東九州道の [ 130.94860094, 33.72537198 ] の後に 行橋 [ 130.94933207, 33.72374243 ] を追加"
HighwaySection,EA02_039011,"九州自動車道の [ 130.788878, 32.754716 ], [ 130.788862, 32.753536 ] の間に 嘉島JCT [ 130.78886884, 32.75404627 ] を追加"
HighwaySection,EA02_027009,"新名神高速道路の [ 135.222647966387768, 34.849833003841646 ] の前に 神戸JCT [ 135.222617997310834, 34.849833003841638 ] を追加"
Joint,EA03_549003,智恵文南入口 を 智恵文南 に修正
Joint,EA03_553001,高野交差点 を 美幌高野 に修正
Joint,EA03_505013,六戸仮出入口 を 六戸 に変更
Joint,EA03_505019,六戸・三沢 を 六戸三沢 に修正
Joint,EA03_505015,青森東 を 青森滝沢 に修正
Joint,EA03_617001,唐桑南 を 唐桑半島 に修正
HighwaySection,EA02_356001,"三陸道の [ 141.628330207558491, 39.031127370810189 ] の前に 陸前高田 [ 141.628305510810179, 39.031127370810189 ] を追加"
Joint,EA03_629005,永平寺東 を 永平寺 に修正
Joint,EA03_629006,永平寺西 を 永平寺参道 に修正
Joint,EA03_628004,油坂峠出入口 を 油坂峠 に修正
HighwaySection,EA02_131001,"能越道 氷見南ICの座標を [ 136.95124755063523, 36.807390795252047 ] から [ 136.951247550635145, 36.807390795252026 ] に修正"
Joint,EA03_640002,国道152号接続部 を 国道152号仮接続部 に修正
HighwaySection,EA02_169001,"那覇空港自動車道 豊見城ICの座標を [ 127.69700725, 26.17228464 ] から [ 127.69700725, 26.17228463 ] に修正"
Joint,EA03_706005,島屋出口 を 島屋 に修正
Joint,EA03_671020,北の丸出口 を 北の丸 に修正
Joint,EA03_671027,東銀座出口 を 東銀座 に修正
HighwaySection,EA02_186007,"首都高湾岸線の [ 139.755382, 35.603173 ], [ 139.755399, 35.605855 ] の間に 中環大井南 [ 139.755387803422764, 35.604088575288202 ] を追加"
HighwaySection,EA02_172009,"首都高中央環状線の [ 139.85984916988059, 35.698754442084599 ], [ 139.859807293432681, 35.699183675675677 ] の間に 小松川JCT [ 139.859841555980893, 35.698847712354933 ] を追加"
HighwaySection,EA02_174005,"首都高羽田線 大井JCTの座標を [ 139.750776, 35.607832 ] から [ 139.750776, 35.607832000000144 ] に修正"
Joint,EA03_686037,"大井JCT [ 139.750776, 35.607832000000144 ] を追加"
